time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	8.19353e-307	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714003	0.587993	7.09127	1.49909e-17	1.64966e-17	radar	73.9424	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16106	0.493435	7.09378	-0.0687382	-0.00826867	lidar	0.184053	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27648	0.513635	7.08911	0.191197	0.0385892	radar	1.80981	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61391	0.594592	7.10901	0.245012	0.0530596	lidar	0.199413	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82224	0.569806	6.3096	0.0938595	-0.056	radar	4.18901	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15273	0.616042	6.32471	0.108572	-0.0282424	lidar	0.1616	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36847	0.644923	5.54814	0.0945431	-0.182685	radar	7.12524	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64561	0.668488	5.55192	0.0833437	-0.19159	lidar	0.00587059	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91284	0.658831	5.46959	0.0274792	-0.383641	radar	0.360031	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14667	0.656975	5.42547	0.0117338	-0.364097	lidar	1.04543	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43515	0.549343	5.47207	-0.152239	-0.85331	radar	1.57224	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74036	0.433665	5.5565	-0.285835	-1.13116	lidar	2.33734	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01935	0.519686	5.53088	-0.139457	-0.559722	radar	4.01151	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29312	0.51139	5.50841	-0.133755	-0.476159	lidar	0.31609	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
